,group_counts,Delta_stats,Theta_stats,Alpha_stats,Beta_stats
hc,47.0,,,,
pa,47.0,,,,
Delta_Frontal_mean,,"{'count': 94.0, 'mean': 7.638307550870184e-12, 'std': 4.7394989455505845e-12, 'min': 2.0617638574873757e-12, '25%': 4.9100505554039685e-12, '50%': 6.470198700451188e-12, '75%': 9.039820627194703e-12, 'max': 3.279065019193734e-11}",,,
Delta_Central_mean,,"{'count': 94.0, 'mean': 2.996641101810826e-12, 'std': 1.9131936636729493e-12, 'min': 8.639205472152163e-13, '25%': 1.8012544393026353e-12, '50%': 2.5963623763090345e-12, '75%': 3.5445134356943186e-12, 'max': 1.4143923686293012e-11}",,,
Delta_Parietal_mean,,"{'count': 94.0, 'mean': 9.426097557626256e-12, 'std': 7.727567494536005e-12, 'min': 2.305879139477381e-12, '25%': 5.323236941251613e-12, '50%': 7.151314822858628e-12, '75%': 1.0463675641722763e-11, 'max': 5.2556926935659986e-11}",,,
Delta_Occipital_mean,,"{'count': 94.0, 'mean': 1.5903417530086275e-11, 'std': 1.4796676171852847e-11, 'min': 3.7409567251298435e-12, '25%': 8.524491746566225e-12, '50%': 1.1030816116396509e-11, '75%': 1.7315931275095694e-11, 'max': 1.0113420578647858e-10}",,,
Delta_mean,,"{'count': 94.0, 'mean': 9.341114212501877e-12, 'std': 6.118959301892589e-12, 'min': 2.5530632746790643e-12, '25%': 5.456837184403201e-12, '50%': 7.578115452305437e-12, '75%': 1.0307357562964647e-11, 'max': 3.370327076494007e-11}",,,
Theta_Frontal_mean,,,"{'count': 94.0, 'mean': 8.046673511885474e-12, 'std': 5.115502367557995e-12, 'min': 1.8048283759976357e-12, '25%': 4.732262427224209e-12, '50%': 6.928578151147686e-12, '75%': 9.643529289092918e-12, 'max': 2.8189062267214315e-11}",,
Theta_Central_mean,,,"{'count': 94.0, 'mean': 4.799836087652032e-12, 'std': 5.038244638614801e-12, 'min': 8.464818851607833e-13, '25%': 2.2624855745185492e-12, '50%': 3.136686291796264e-12, '75%': 5.098348009817646e-12, 'max': 3.890406234524358e-11}",,
Theta_Parietal_mean,,,"{'count': 94.0, 'mean': 1.7138946592068644e-11, 'std': 2.4571724833744558e-11, 'min': 2.506036221974234e-12, '25%': 6.71823270945415e-12, '50%': 9.757201160397985e-12, '75%': 1.7844966244863398e-11, 'max': 2.0815337887879678e-10}",,
Theta_Occipital_mean,,,"{'count': 94.0, 'mean': 2.9447934260541164e-11, 'std': 3.832234925610863e-11, 'min': 4.832552355104026e-12, '25%': 1.0773280346876924e-11, '50%': 1.7123085904641106e-11, '75%': 3.019948263215729e-11, 'max': 3.1252097669029687e-10}",,
Theta_mean,,,"{'count': 94.0, 'mean': 1.5278212648008377e-11, 'std': 1.6793232129192117e-11, 'min': 2.968007410751795e-12, '25%': 6.1913822033534095e-12, '50%': 1.0205231943931456e-11, '75%': 1.782137066572895e-11, 'max': 1.3574189696080275e-10}",,
Alpha_Frontal_mean,,,,"{'count': 94.0, 'mean': 8.408777870445716e-12, 'std': 6.269701551065885e-12, 'min': 1.375474325307464e-12, '25%': 3.975640659396172e-12, '50%': 7.011210681956329e-12, '75%': 1.0748000651323004e-11, 'max': 3.718583431763608e-11}",
Alpha_Central_mean,,,,"{'count': 94.0, 'mean': 8.073263715590247e-12, 'std': 8.719301426452736e-12, 'min': 9.089479589852176e-13, '25%': 2.488876564728094e-12, '50%': 5.111969285802821e-12, '75%': 1.1217469926613586e-11, 'max': 5.5352745865930505e-11}",
Alpha_Parietal_mean,,,,"{'count': 94.0, 'mean': 5.3354829443699194e-11, 'std': 6.928365957191565e-11, 'min': 3.2540831334653906e-12, '25%': 1.0824976272850951e-11, '50%': 3.127368426443371e-11, '75%': 6.791294392011879e-11, 'max': 3.6843138373635966e-10}",
Alpha_Occipital_mean,,,,"{'count': 94.0, 'mean': 1.0597622336227874e-10, 'std': 1.3303298214625916e-10, 'min': 5.971313617117162e-12, '25%': 1.857801494988289e-11, '50%': 5.571717549170015e-11, '75%': 1.350099540012386e-10, 'max': 8.02851524530002e-10}",
Alpha_mean,,,,"{'count': 94.0, 'mean': 3.6301964015965144e-11, 'std': 3.9581493784059315e-11, 'min': 3.2169691534010247e-12, '25%': 1.0100256059092668e-11, '50%': 2.2976682430199503e-11, '75%': 4.623690051624257e-11, 'max': 1.9380176032699683e-10}",
Beta_Frontal_mean,,,,,"{'count': 94.0, 'mean': 7.40647892066154e-12, 'std': 4.166476843469676e-12, 'min': 1.6120583905565444e-12, '25%': 4.3064282784825835e-12, '50%': 6.581372418616749e-12, '75%': 8.697342935724046e-12, 'max': 2.3232669305938084e-11}"
Beta_Central_mean,,,,,"{'count': 94.0, 'mean': 7.047623674883764e-12, 'std': 6.05351441224635e-12, 'min': 1.2005740917698964e-12, '25%': 3.345015665587806e-12, '50%': 5.3050277477812815e-12, '75%': 8.127301389626426e-12, 'max': 3.5327215277273905e-11}"
Beta_Parietal_mean,,,,,"{'count': 94.0, 'mean': 1.9395689111802958e-11, 'std': 1.4544439717222905e-11, 'min': 3.5311537477208538e-12, '25%': 9.264863059422668e-12, '50%': 1.513161267644797e-11, '75%': 2.4070650263768847e-11, 'max': 7.353075048625079e-11}"
Beta_Occipital_mean,,,,,"{'count': 94.0, 'mean': 2.9639775093846626e-11, 'std': 2.1646455635436508e-11, 'min': 5.562418197493674e-12, '25%': 1.4134926943385243e-11, '50%': 2.2230478718387733e-11, '75%': 3.859921581238598e-11, 'max': 1.1567200186047174e-10}"
Beta_mean,,,,,"{'count': 94.0, 'mean': 1.5901456868942576e-11, 'std': 1.0209424289477739e-11, 'min': 3.1707664707165634e-12, '25%': 8.853381037242641e-12, '50%': 1.2522819507075465e-11, '75%': 1.952700404200977e-11, 'max': 5.0425666535691554e-11}"
